query_id,query_file,phase,method,run_index,latency_ms,row_count,result_node_ids_match,seed_ids_match
paper-23583-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,3.003125,112,TRUE,
paper-23583-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.355417,3,TRUE,
paper-23583-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.526083,18,TRUE,
paper-23583-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,3.740500,127,TRUE,
paper-23583-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.686042,5,TRUE,
paper-23583-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,3.478083,42,TRUE,
paper-23583-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,7.502792,326,TRUE,
paper-23583-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.847250,10,TRUE,
paper-23583-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,6.319834,111,TRUE,
paper-23583-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,28.775333,1294,TRUE,
paper-62108-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.197792,1,TRUE,
paper-62108-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.099875,3,TRUE,
paper-62108-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.090167,6,TRUE,
paper-62108-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.444625,3,TRUE,
paper-62108-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,2.184708,42,TRUE,
paper-62108-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,344.636583,20350,TRUE,
paper-62108-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.928708,5,TRUE,
paper-62108-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.475167,53,TRUE,
paper-62108-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,356.769375,21115,TRUE,
paper-62108-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,4.203291,10,TRUE,
paper-62108-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.795083,77,TRUE,
paper-62108-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,526.278125,30607,TRUE,
paper-156019-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.998041,1,TRUE,
paper-156019-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.125750,10,TRUE,
paper-156019-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,3.056291,131,TRUE,
paper-156019-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.337583,3,TRUE,
paper-156019-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,2.011417,46,TRUE,
paper-156019-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,142.844875,8442,TRUE,
paper-156019-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,2.052875,5,TRUE,
paper-156019-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,3.233875,81,TRUE,
paper-156019-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,327.753875,19283,TRUE,
paper-156019-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,5.131584,10,TRUE,
paper-156019-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,6.183333,113,TRUE,
paper-156019-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,343.874333,19912,TRUE,
paper-52341-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.048958,1,TRUE,
paper-52341-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.964541,2,TRUE,
paper-52341-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.043500,6,TRUE,
paper-52341-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.398875,3,TRUE,
paper-52341-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.398458,9,TRUE,
paper-52341-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,1.912416,39,TRUE,
paper-52341-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.749584,5,TRUE,
paper-52341-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,1.962875,19,TRUE,
paper-52341-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,3.107042,89,TRUE,
paper-52341-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.701250,10,TRUE,
paper-52341-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.662250,61,TRUE,
paper-52341-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,28.933458,1515,TRUE,
paper-136171-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.872833,1,TRUE,
paper-136171-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.163333,16,TRUE,
paper-136171-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,135.690834,8099,TRUE,
paper-136171-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.611333,3,TRUE,
paper-136171-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.970875,27,TRUE,
paper-136171-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,177.571792,10289,TRUE,
paper-136171-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,2.157666,5,TRUE,
